,M
517,0
518,0
519,0
520,0
521,0
522,-1
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,-1
533,0
534,0
535,0
536,0
537,-1
538,1
539,0
540,0
541,-1
542,0
543,0
544,0
545,0
546,0
547,-1
548,0
549,-1
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,-1
563,0
564,0
565,0
566,1
567,0
568,1
569,0
570,0
571,0
572,0
573,-1
574,0
575,0
576,1
577,1
578,0
579,0
580,0
581,-1
582,-1
583,0
584,0
585,0
586,-1
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,-1
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,-1
622,0
623,-1
624,0
625,0
626,0
627,0
628,0
629,-1
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,-1
644,1
645,1
646,-1
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,-1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,-1
670,0
671,0
672,0
673,0
674,-1
675,0
676,-1
677,0
678,0
679,0
680,0
681,0
682,-1
683,0
684,0
685,-1
686,0
687,0
688,0
689,1
690,0
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,1
719,0
720,0
721,-1
722,0
723,0
724,0
725,-1
726,-1
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,1
750,1
751,0
752,-1
753,0
754,0
755,0
756,0
757,0
758,0
759,1
760,-1
761,-1
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,-1
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,-1
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,-1
790,1
791,1
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,-1
830,0
831,0
832,0
833,0
834,-1
835,0
836,0
837,0
838,0
839,0
840,0
841,-1
842,0
843,0
844,-1
845,0
846,0
847,0
848,-1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,-1
864,0
865,-1
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,-1
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,-1
916,0
917,1
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,-1
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,-1
938,0
939,1
940,0
941,0
942,-1
943,0
944,0
945,0
946,0
947,-1
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,-1
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,1
983,-1
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,-1
993,0
994,-1
995,-1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,-1
1007,0
1008,-1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,-1
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,1
1035,0
1036,-1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,-1
1068,-1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,-1
1075,-1
1076,0
1077,0
1078,0
1079,-1
1080,1
1081,0
1082,0
1083,-1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,0
1103,-1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,0
1112,0
1113,-1
1114,-1
1115,0
1116,0
1117,0
1118,0
1119,-1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,-1
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,-1
1152,-1
1153,0
1154,-1
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,-1
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,-1
1186,1
1187,-1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,1
1199,0
1200,0
1201,0
1202,1
1203,-1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,-1
1215,0
1216,0
1217,0
1218,0
1219,1
1220,1
1221,0
1222,1
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,-1
1234,-1
1235,-1
1236,-1
1237,0
1238,0
1239,0
1240,0
1241,0
1242,-1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,-1
1249,0
1250,-1
1251,0
1252,1
1253,0
1254,0
1255,1
1256,0
1257,0
1258,-1
1259,0
1260,-1
1261,0
1262,0
1263,0
1264,-1
1265,0
1266,1
1267,-1
1268,0
1269,0
1270,0
1271,0
1272,-1
1273,0
1274,1
1275,0
1276,-1
1277,1
1278,1
1279,0
1280,1
1281,-1
1282,0
1283,0
1284,1
1285,0
1286,0
1287,-1
1288,1
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,0
1300,0
1301,1
1302,0
1303,-1
1304,0
1305,-1
1306,0
1307,1
1308,0
1309,1
1310,-1
1311,0
1312,1
1313,0
1314,0
1315,0
1316,0
1317,0
1318,-1
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,-1
1330,0
1331,1
1332,0
1333,1
1334,0
1335,-1
1336,0
1337,0
1338,1
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,-1
1346,0
1347,-1
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,0
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1363,-1
1364,0
1365,0
1366,0
1367,0
1368,0
1369,-1
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,0
1378,0
1379,0
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,-1
1392,0
1393,1
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,-1
1410,1
1411,0
1412,0
1413,0
1414,-1
1415,0
1416,0
1417,0
1418,1
1419,0
1420,0
1421,0
1422,-1
1423,0
1424,0
1425,0
1426,0
1427,1
1428,1
1429,0
1430,1
1431,0
1432,0
1433,-1
1434,0
1435,-1
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,0
1470,0
1471,0
1472,1
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,1
1482,1
1483,0
1484,0
1485,1
1486,0
1487,0
1488,0
1489,0
1490,0
1491,1
1492,0
1493,0
1494,-1
1495,1
1496,0
1497,-1
1498,-1
1499,0
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,0
1508,0
1509,0
1510,1
1511,0
1512,-1
1513,0
1514,-1
1515,0
1516,0
1517,-1
1518,0
1519,0
1520,0
1521,-1
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,1
1531,-1
1532,0
1533,0
1534,0
1535,0
1536,-1
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,1
1552,1
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,1
1563,0
1564,-1
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,1
1576,0
1577,1
1578,1
1579,1
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,-1
1593,0
1594,0
1595,0
1596,-1
1597,0
1598,-1
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,-1
1607,1
1608,0
1609,1
1610,0
1611,0
1612,0
1613,0
1614,1
1615,1
1616,0
1617,-1
1618,0
1619,1
1620,-1
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,1
1635,-1
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,-1
1644,0
1645,-1
1646,0
1647,0
1648,0
1649,0
1650,0
1651,-1
1652,0
1653,1
1654,0
1655,0
1656,0
1657,1
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,1
1673,0
1674,1
1675,0
1676,-1
1677,-1
1678,-1
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,-1
1687,0
1688,0
1689,1
1690,-1
1691,0
1692,1
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,-1
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,1
1724,0
1725,1
1726,0
1727,0
1728,0
1729,1
1730,0
1731,0
1732,-1
1733,1
1734,0
1735,-1
1736,0
1737,0
1738,-1
1739,0
1740,0
1741,0
1742,0
1743,-1
1744,0
1745,0
1746,0
1747,0
1748,1
1749,0
1750,0
1751,0
1752,1
1753,0
1754,0
1755,1
1756,-1
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,-1
1764,0
1765,1
1766,0
1767,0
1768,0
1769,1
1770,-1
1771,0
1772,0
1773,0
1774,-1
1775,0
1776,0
1777,0
1778,-1
1779,0
1780,1
1781,0
1782,-1
1783,0
1784,0
1785,-1
1786,-1
1787,0
1788,0
1789,0
1790,0
1791,-1
1792,-1
1793,-1
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,1
1804,0
1805,-1
1806,0
1807,1
1808,0
1809,1
1810,0
1811,0
1812,0
1813,-1
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,-1
1821,1
1822,0
1823,0
1824,0
1825,0
1826,1
1827,0
1828,0
1829,0
1830,-1
1831,0
1832,1
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,-1
1844,1
1845,-1
1846,0
1847,1
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,1
1864,0
1865,0
1866,0
1867,0
1868,-1
1869,1
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,-1
1883,0
1884,0
1885,0
1886,-1
1887,0
1888,0
1889,1
1890,1
1891,0
1892,0
1893,0
1894,0
1895,-1
1896,0
1897,1
1898,0
1899,-1
1900,0
1901,0
1902,0
1903,0
1904,-1
1905,0
1906,0
1907,0
1908,0
1909,0
1910,-1
1911,-1
1912,0
1913,0
1914,0
1915,0
1916,1
1917,0
1918,0
1919,0
1920,0
1921,-1
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,1
1931,0
1932,-1
1933,0
1934,0
1935,-1
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,1
1948,0
1949,0
1950,0
1951,0
1952,-1
1953,-1
1954,0
1955,-1
1956,0
1957,0
1958,0
1959,-1
1960,0
1961,0
1962,0
1963,0
1964,1
1965,1
1966,-1
1967,0
1968,0
1969,-1
1970,-1
1971,0
1972,0
1973,-1
1974,0
1975,0
1976,-1
1977,0
1978,0
1979,-1
1980,1
1981,-1
1982,0
1983,0
1984,-1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,1
1993,0
1994,0
1995,-1
1996,1
1997,1
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,1
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,-1
2015,0
2016,0
2017,-1
2018,0
2019,0
2020,1
2021,0
2022,0
2023,1
2024,0
2025,0
2026,0
2027,1
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,1
2035,-1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,-1
2042,0
2043,0
2044,0
2045,0
2046,0
2047,-1
2048,0
2049,0
2050,0
2051,0
2052,1
2053,0
2054,0
2055,1
2056,0
2057,0
2058,0
2059,1
2060,0
2061,0
2062,0
2063,0
2064,0
2065,1
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,1
2074,0
2075,0
2076,0
2077,0
2078,-1
2079,0
2080,0
2081,-1
2082,-1
2083,0
2084,-1
2085,0
2086,0
2087,0
2088,1
2089,1
2090,0
2091,0
2092,0
2093,-1
2094,1
2095,0
2096,0
2097,0
2098,0
2099,1
2100,0
2101,1
2102,0
2103,0
2104,1
2105,1
2106,0
2107,0
2108,0
2109,0
2110,0
2111,-1
2112,0
2113,0
2114,0
2115,-1
2116,0
2117,0
2118,1
2119,0
2120,0
2121,0
2122,0
2123,1
2124,0
2125,1
2126,0
2127,0
2128,0
2129,0
2130,-1
2131,0
2132,0
2133,0
2134,0
2135,0
2136,-1
2137,0
2138,0
2139,0
2140,1
2141,1
2142,0
2143,0
2144,-1
2145,0
2146,0
2147,1
2148,0
2149,0
2150,-1
2151,1
2152,0
2153,0
2154,0
2155,0
2156,-1
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,1
2169,0
2170,0
2171,0
2172,-1
2173,0
2174,1
2175,0
2176,0
2177,1
2178,-1
2179,0
2180,-1
2181,-1
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,-1
2191,0
2192,-1
2193,1
2194,0
2195,1
2196,1
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,1
2212,0
2213,-1
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,-1
2221,0
2222,0
2223,-1
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,1
2232,1
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,-1
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,-1
2248,-1
2249,0
2250,0
2251,0
2252,0
2253,0
2254,1
2255,0
2256,1
2257,-1
2258,0
2259,0
2260,-1
2261,0
2262,0
2263,0
2264,1
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,1
2273,0
2274,1
2275,0
2276,0
2277,0
2278,-1
2279,-1
2280,0
2281,0
2282,0
2283,0
2284,1
2285,0
2286,-1
2287,0
2288,0
2289,0
2290,0
2291,1
2292,0
2293,-1
2294,0
2295,0
2296,0
2297,0
2298,0
2299,1
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,1
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,-1
2325,-1
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,-1
2333,0
2334,0
2335,-1
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,-1
2354,0
2355,0
2356,1
2357,0
2358,0
2359,-1
2360,1
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,0
2368,0
2369,0
2370,0
2371,-1
2372,1
2373,0
2374,0
2375,-1
2376,0
2377,0
2378,0
2379,1
2380,0
2381,-1
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,1
2390,-1
2391,0
2392,-1
2393,0
2394,-1
2395,-1
2396,0
2397,0
2398,0
2399,1
2400,0
2401,0
2402,0
2403,0
2404,0
2405,1
2406,0
2407,-1
2408,-1
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,-1
2417,0
2418,-1
2419,0
2420,1
2421,0
2422,0
2423,0
2424,0
2425,1
2426,0
2427,0
2428,0
2429,0
2430,0
2431,-1
2432,-1
2433,0
2434,0
2435,0
2436,0
2437,-1
2438,0
2439,1
2440,0
2441,1
2442,0
2443,0
2444,0
2445,0
2446,-1
2447,0
2448,0
2449,0
2450,-1
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,-1
2460,0
2461,0
2462,0
2463,1
2464,0
2465,1
2466,0
2467,-1
2468,0
2469,1
2470,0
2471,0
2472,-1
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,1
2480,0
2481,1
2482,0
2483,0
2484,0
2485,0
2486,0
2487,1
2488,0
2489,1
2490,0
2491,0
2492,0
2493,1
2494,0
2495,0
2496,0
2497,0
2498,0
2499,-1
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,-1
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,1
2521,0
2522,1
2523,0
2524,0
2525,1
2526,0
2527,0
2528,1
2529,0
2530,0
2531,1
2532,0
2533,0
2534,1
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,1
2547,0
2548,0
2549,-1
2550,0
2551,0
2552,-1
2553,0
2554,-1
2555,0
2556,0
2557,1
2558,1
2559,0
2560,0
2561,0
2562,-1
2563,0
2564,0
2565,0
2566,0
2567,0
2568,0
2569,1
2570,0
2571,0
2572,-1
2573,0
2574,0
2575,0
2576,0
2577,-1
2578,0
2579,1
2580,0
2581,0
2582,0
2583,0
2584,0
2585,-1
2586,0
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,1
2594,0
2595,0
2596,0
2597,0
2598,0
2599,-1
2600,0
2601,0
2602,0
2603,0
2604,0
2605,1
2606,0
2607,0
2608,0
2609,0
2610,0
2611,0
2612,0
2613,1
2614,0
2615,-1
2616,0
2617,-1
2618,1
2619,0
2620,0
2621,0
2622,0
2623,-1
2624,0
2625,-1
2626,0
2627,0
2628,0
2629,0
2630,-1
2631,1
2632,0
2633,0
2634,0
2635,1
2636,0
2637,-1
2638,0
2639,1
2640,1
2641,0
2642,-1
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,-1
2652,0
2653,0
2654,0
2655,0
2656,1
2657,-1
2658,0
2659,0
2660,-1
2661,0
2662,0
2663,0
2664,0
2665,0
2666,1
2667,1
2668,0
2669,0
2670,0
2671,-1
2672,-1
2673,0
2674,0
2675,0
2676,1
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,1
2684,0
2685,0
2686,-1
2687,0
2688,0
2689,1
2690,0
2691,0
2692,0
2693,0
2694,0
2695,1
2696,0
2697,0
2698,-1
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,1
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,1
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,-1
2724,0
2725,0
2726,0
2727,0
2728,1
2729,0
2730,0
2731,1
2732,0
2733,0
2734,0
2735,1
2736,-1
2737,0
2738,-1
2739,0
2740,0
2741,0
2742,1
2743,0
2744,0
2745,0
2746,0
2747,0
2748,0
2749,1
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,0
2759,-1
2760,0
2761,0
2762,0
2763,1
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,0
2777,0
2778,1
2779,0
2780,1
2781,0
2782,-1
2783,0
2784,0
2785,-1
2786,0
2787,0
2788,0
2789,-1
2790,0
2791,0
2792,0
2793,-1
2794,0
2795,-1
2796,1
2797,-1
2798,1
2799,0
2800,0
2801,0
2802,0
2803,0
2804,1
2805,0
2806,1
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,0
2817,0
2818,1
2819,0
2820,0
2821,-1
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2829,0
2830,0
2831,0
2832,-1
2833,0
2834,0
2835,1
2836,0
2837,0
2838,-1
2839,0
2840,0
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,-1
2848,0
2849,1
2850,0
2851,0
2852,0
2853,0
2854,1
2855,0
2856,0
2857,0
2858,0
2859,0
2860,-1
2861,0
2862,0
2863,-1
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,1
2876,1
2877,1
2878,1
2879,0
2880,0
2881,-1
2882,1
2883,0
2884,0
2885,0
2886,0
2887,0
2888,0
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,1
2896,0
2897,0
2898,1
2899,0
2900,1
2901,0
2902,0
2903,1
2904,0
2905,0
2906,0
2907,0
2908,1
2909,0
2910,0
2911,-1
2912,0
2913,0
2914,1
2915,1
2916,0
2917,0
2918,-1
2919,0
2920,-1
2921,-1
2922,0
2923,0
2924,0
2925,1
2926,1
2927,0
2928,-1
